shot_id,shot_made_flag
1,0.37916730001432714
8,0.3088848284799912
17,0.694126070678762
20,0.7624744612210129
33,0.3192949722954234
34,0.39666551522017746
35,0.5232520594914581
36,0.5268655368727264
37,0.6394189368928422
38,0.3772560538357407
45,0.3330223619567095
50,0.3209925685068478
55,0.1943430604797399
60,0.17955651121951538
66,0.28258696208156503
67,0.34093395253472614
71,0.3539881666728691
80,0.25065451041200437
85,0.30514973806984635
86,0.6193242363060946
95,0.5718230391303202
104,0.32997302922771654
113,0.3144166780385944
123,0.29505964773754745
126,0.7717391216870516
133,0.6780402349277022
141,0.23714909771807186
144,0.3845290016302401
150,0.757039137825594
152,0.3394040728631224
153,0.7371681863377181
156,0.6856611920053213
159,0.7272004892023427
165,0.7222534809341269
172,0.3697057481775535
182,0.708542762015348
192,0.3556983408262074
193,0.7356508965915115
196,0.3388481795415426
202,0.345066696101916
210,0.33127781272974344
211,0.3926247812474727
228,0.9704268224413262
257,0.3661680315369133
260,0.33069968631489455
264,0.3813912665413852
267,0.6325371766710077
279,0.7472216547062278
282,0.40386201544190886
293,0.3190252644443052
299,0.7432017734601505
300,0.6251913942862536
301,0.7295631380612898
317,0.34838523785499875
327,0.34984861414576535
328,0.3411332550482812
335,0.3787104525231367
346,0.7257090308217352
348,0.28525920523416787
365,0.37498859842868687
390,0.7283583335118797
391,0.7260546293751444
392,0.7085529237082278
397,0.32254999620540353
418,0.33122966453699215
428,0.24705174273277178
434,0.5765548337454357
439,0.346211739426145
440,0.39167668852714316
456,0.3489007374984683
459,0.30489263072329165
472,0.3684738426329146
480,0.27960759515152783
491,0.31734987331915504
497,0.35869461815993636
509,0.3744565639608189
511,0.28081540018718953
523,0.19487464354842052
533,0.35575829184626606
544,0.39778573001582423
546,0.33331750912397934
555,0.6790367444165392
558,0.3812962138423876
560,0.3534543361828141
573,0.34752173185614627
591,0.34323892038979387
596,0.26456634045144367
597,0.3531442708747291
601,0.5077443221663133
605,0.37132054201752474
617,0.33771693187546403
628,0.290163471810456
634,0.32807730436411026
646,0.2780120512193777
649,0.29862569678993606
651,0.7197785709436816
654,0.6530117873340641
656,0.40726896650599953
657,0.3369096425778293
669,0.346707346640679
670,0.7866484897758657
693,0.555012283286143
694,0.27824446374924283
699,0.3694056571987204
711,0.3981640872149864
718,0.36854525389489895
722,0.3356742498490088
